SNo,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
,,,,,,,
,,,,,,,
1,Round 1,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Cyber Security,G2,OPEN,550,442
2,Round 1,Malaviya National Institute of Technology Jaipur,Design Engineering,G1,EWS,504,488
3,Round 1,"National Institute of Technology Karnataka, Surathkal",Power & Energy Systems,G1,OBC-NCL,593,578
4,Round 1,Motilal Nehru National Institute of Technology Allahabad,Biomedical Engineering,G2,OPEN,624,533
5,Round 1,"National Institute of Technology, Warangal",Transportation Engineering,G1,OPEN,665,559
6,Round 1,"National Institute of Technology, Warangal",Transportation Engineering,G1,OPEN-PwD,331,331
7,Round 1,"National Institute of Technology, Tiruchirappalli",Energy Engineering,G3,OBC-NCL,571,571
8,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Signal Processing and communication),G1,OPEN,458,387
9,Round 1,"National Institute of Advanced manufacturing Technology, Hatia, Ranchi",Environmental Engineering,G1,EWS,330,330
10,Round 1,Indian Institute of Information Technology Vadodara,Computer Science & Engineering with Specialization in Artificial Intelligence,G1,EWS,363,346
11,Round 1,Malaviya National Institute of Technology Jaipur,Design Engineering,G1,ST,499,499
12,Round 1,Malaviya National Institute of Technology Jaipur,Embedded Systems,G1,OBC-NCL,515,486
13,Round 1,"National Institute of Technology Karnataka, Surathkal",Power & Energy Systems,G1,ST,364,303
14,Round 1,Motilal Nehru National Institute of Technology Allahabad,Biomedical Engineering,G2,SC,258,195
15,Round 1,"National Institute of Technology, Warangal",Systems and Control Engineering,G3,EWS,557,557
16,Round 1,"National Institute of Technology, Tiruchirappalli",Industrial Safety Engineering,G1,ST,268,268
17,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (Signal Processing and communication),G1,SC,275,246
18,Round 1,University of Hyderabad,Manufacturing Science and Engineering,G1,SC,333,272
19,Round 1,"National Institute of Advanced manufacturing Technology, Hatia, Ranchi",Environmental Engineering,G1,OPEN,404,350
20,Round 1,Indian Institute of Information Technology Vadodara,Computer Science & Engineering with Specialization in Data Science ,G1,OBC-NCL,438,371
,,,,,,,
1,Round 1,Malaviya National Institute of Technology Jaipur,Embedded Systems,G2,OBC-NCL,512,394
2,Round 1,Malaviya National Institute of Technology Jaipur,Embedded Systems,G2,OPEN,534,515
3,Round 1,Motilal Nehru National Institute of Technology Allahabad,Control & Instrumentation,G1,SC,353,335
4,Round 1,"National Institute of Technology, Warangal",Systems and Control Engineering,G3,OPEN,628,621
5,Round 1,"National Institute of Technology, Warangal",Systems and Control Engineering,G3,SC,388,388
6,Round 1,"National Institute of Technology, Tiruchirappalli",Environmental Engineering,G1,OBC-NCL,588,559
7,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Materials Science and Chemical Technology (Materials Science and Technology),G1,OBC-NCL,360,322
8,Round 1,University of Hyderabad,Modeling and Simulation,G5,OPEN,389,376
9,Round 1,"School of Planning and Architecture, Bhopal",M.Plan. (Environmental  Planning),G3,OBC-NCL,438,438
